,2275844: How did you use GenAI in the preparation of your report? List all use-cases as a series of dot-points with short explanations of how you used it.,2298314: How did you use GenAI in the preparation of your report? List all use-cases as a series of dot-points with short explanations of how you used it.,2298340: How did you use GenAI in the preparation of your report? List all use-cases as a series of dot-points with short explanations of how you used it.
0,"Paraphrase

gramma check

coding","It helps me to paraphrase it.

Give some initial idea for good starting.",
1,,"Put unorganized sentences and information in a professional way

asking for research directions

double check my logics such as thermodynamics principles and simple math

fix reference structure

write VB macro codes for me","arranging sentences in a professional manner.

correct grammars.

sanity check on thermodynamic principles.

referece generating.

simple math."
2,"* a more advance version of Wikipedia to obtain preliminary knowledge regarding green ironmaking process and its challenges of full commercialization; I entered a prompt, asking ChatGPT to briefly explain to me green hydrogen ironmaking process, its potential to contribute to a more sustainable and greener future, and what hurdles prevent its full-scale industrialization

* a time-saving tool to obtain brief overviews on the most critical findings from research/review articles in green hydrogen ironmaking; I collected several research/review articles on the topic of green ironmaking, created GPTs, uploaded the articles, requested retrieval augmented generation from the attached files, and asked GPTs to provide a brief overview of each article and their most important findings.

* an effective tool for getting very specific questions (partially) answered/(almost) unique ideas assessed in a considerably reliable way; After the preliminary research stage, I came up with several very specific questions and wanted to get them answered in a reliable way. Knowing that outputs from the standard use of ChatGPT would not be reliable, I took my time to collect some relevant articles and requested retrieval augmented generation from a separate GPT as per the information in the articles I found. I then asked my specific (mostly technical) questions and got them attempted in a reliable way, which I believe helped me a lot to realize the potential of this tool for my future learning.","* getting my thought process criticized in a constructive way

* creating my own GPTs by uploading research articles

* checking and correcting my pieces of writing

* requesting in-text referencing from articles referenced in APA 7","For the final assignment, I have not used it very much to be honest because my major equipment was a fluidized bed reactor, and there is not much publicly available information about the design of fluidized bed reactors. The majority of my design considerations were based on the book of fluidization engineering by Kuni and Levenspiel. However, I have still used ChatGPT for increasing the overall quality of my writing. In addition to that, I have also used ChatGPT in changing the format of my references."
3,"* Grammar checking and enhance the fluency of the paragraph 

* Help making the paragraph more coherent 

* Quick research about facts","* Grammar check - helping correct any grammatical issues in my written paragraph 

* Quick calculation verification - do not need to re enter the value in the calculator 

* Initial data gathering - brainstorming ideas","* Quick data search 

* Grammar check for written paragraph 

* Unit conversion"
4,"* Information gathering: used to understand simple to moderate concepts. Not used for specific statistics or complex topics unless backed up by RAG input.

* Paper summaries: used to summarise the key points in a research paper, including any key statistics. Could tune the summary to the questions I needed answered.

* Project guidance: used to suggest areas to research relevant to the assignment brief, and specific questions that might be useful to answer.

* Report skeleton writing: Providing an initial paragraph for new sections of writing which I can edit and write around. Gives a launching point for each writing section that I typically find difficult to do.

* Report structure: suggesting what to include in certain sections of the report, and what order to include them. (Although it typically provided too large of a suggestion before iterating it shorter with more requests).

* Rewriting of sections: inputting sections of text that I had written and asking for specific improvements, such as flow, brevity, clarity, readability, or simply removing grammar errors. 

* Excel coding: asking it to code something I have explained with words, specifically for the macros in Excel. Adjusting the code based on errors or changes needed is simple, to do so myself or iterate the code in GPT. 

* Referencing: input several downloaded pdfs and asking for references. Also used to sort and remove duplicates of final reference list.

* Provide a summary of use cases for this quiz.

* Perform mass balances on simple chemical equations: The maths was checked by hand but was typically correct. 

* Generate a relevant image for the cover page of the report.","* Generic research: to summarise high level information

* Report writing initiation: to provide an opening to a paragraph or report section, as a sort of springboard to keep writing

* Report writing clean up: to improve the clarity, readability or brevity of writing sections

* Structure recommendations: to suggest what should be included and in what order for different sections of the report, based on the brief

* Excel or coding help: to help write excel codes to ascertain certain information from an excel spreadsheet

* Calculations: to perform/double check hand calculations

* Summarise written information: input PDFs or webpages and ask for a summary, or a list of information relevant to a specific single topic

* Report writing: to write a report subsection based on given research or dot point summaries","* high level information gathering

* summarising of reports or other PDFs into key dot points, or on information about a specific subtopic

* summarising the conclusions of my report

* writing an executive summary based on my report

* writing and ordering references

* creating suggestions on what to write in each section of the report

* writing an introduction to a subsection, as a way to facilitate my further writing

* helping make the writing more brief or clear

* Generating code based on a written description in matlab or in excel

* suggesting methodology for the tackling of the model creation (based on input references)

* solving mathamatical equations"
5,"-used it in on how i should structure my writing (e.g, what should be included) 

-used in making my paragraphs more professionally written and toned

-used in finding the meaning of some words that are not familiar to me as a non-native speaker

-used in summarizing informations from researches. This actually saved so much time.","-used it when i want to structure my report, like what criteria should i put on my technology selection and what should be weighing of each criteria.

-used it when I want to present the writing I done into a more professional tone/way. 

-used it as a dictionary on unfamiliar words, and also when i want to know what are the differences of each technology such as 2 phase separator and knock out drums 

-used it to give me an idea on the different technologies being used in the industry. For instance in solid-gas separation (cyclone, baghouse filters, etc.) 

-used it when I'm researching technologies, like what should the topics I need to search to give me an information regarding the technology that I wanted to see.","-Structuring my report/outlining it (what to include)

-Making my sentences/paragraph more concisely and professionally written 

-Making a sentence for me for instance I listed all the results I calculated for my sizing, including the formulas and it generated me a paragraph

-Provided me a summary of a paper/journal that is lengthy and list all the key elements that are important on my study 

-Used as my dictionary on different terms or words that are not familiar to me 

-Asked on various concepts i.e if the reboiler temperature is increase, what would be the effect on the regeneration column, or if the pressure is increase. This also applied on the other unit operations such as HEX, Absorber, etc. 

-Provided me a quick understanding on how the TEG dehydration unit works and used to cross checked facts that I read from journals and papers 

-In terms of startup up shut down procedure in P&ID it gave me an idea but very general but it gave me an idea"
6,"- I started by asking how I should research. When I am just starting research, the first difficulty I encounter is what and how I should research. Asking this question to the AI, drawing a path for myself and researching accordingly prevents me from wasting a great deal of my time. In this respect, I find AI very useful. And used AI from this view of point so much for this assignment.

- I used AI by asking some specific information directly in the form of whether it is true or not.

- When I do any kind of  research (for example on Google), I open at least ten pages and often only read two. But since I search for the answer to my question directly with the help of AI, I can often read what it writes, do more detailed research on the research and read in more detail. Chatgbt was not very useful in this regard, but artificial intelligences with access to the internet are very useful in this regard.

- Previously, I used extra tools such as Grammerly for report writing, especially for grammar. Now I can only correct grammar with artificial intelligence. I used this a lot in report writing.

- I find it very useful in creating tables and algorithms on any subject. I asked a few times how to create the tables I use in the report with the help of chatgbt.

- I also use ChatGBT's coding skills a lot in my daily life. I haven't used it before for macro excel. It was useful for me to create macro excel code.","* Grammer check

* Asking direct questions (Yes/No)

* Definitions

* Reference writing","* mostly for grammar correction

* creating code and graphs

* converting to dot points to writing

* asking simple calculations to see whether my logic is correct"
7,"Research Ideation

-It helped in the ideation of my research. I inputted the questions from the brief, and it give me prompts on what I need to research in.

Writing of the report

-In inputted the data I collected, as well as the preliminary writing I did previously in a draft document into chatgpt and ask it to collate my research and create a sample report for me. However, this was insufficient so I kept prompting it to change a few words or include something extra. I f it was lacking I went online to search more articles so that I can get appropriate research material to be inputted into my report.","* Research Guidance: I used ChatGPT to guide my research, to clarify the tasks I had ahead and what else I could research about for deoxygenation, evaporation ponds or new ideas that I have not thought about.

* I prepared a draft of my work and asked ChatGPT to make it more professional as most of my writing was informal in terms of second person not third person writing as my teammates checked while we were doing the final review. I think that is the reason that all of my words look like they are pasted from ChatGPT, Do I get no marks for that? I am so confused.

* Collated the final review.

* Prepared the executive summary, used chatgpt to read through the report, I also had my teammates gather key points that they needed in the summary, and used that to create the exec summary, I also prompted it to change here and there and modified the exec summary as the first draft of the exec summary was not that good. 

* Coding for evaporation pond- Helped create the code for excel and how to prepare my excel sheet.","* Perfect my writeup for the report. (Its shows 100 % because I have been using it to write in a formal tone and too include various parameters into my report. 

* Used as a suggestion tool when I am stuck on a particular topic.

* Write down of equations

* Research help. I used it to read my research papers. I had to double check multiple times but it is useful."
8,"* Copy any English sentence or paragraph that I hardly to understand and ask ChatGPT to clarify it.

* Paraphrasing a complicated paragraph into simple explanation for several version.

* Writing my own writing based on several version of these more simple paraphrasing.

* Ask ChatGPT to identify any grammatical mistake.

* Ask ChatGPT to concise each big section into one paragraph for executive summary.",#NAME?,"* Correct my grammar and writing structure.

* Give an idea about general concept, for example in material selection for equipment.

* Help me drafting executive summary and conclusion.

* Help me write a paragraph based on dot point that I find during simulation."
9,"1. As a non-native English speaker, I use ChatGPT to polish my writing when preparing paragraphs.

2. Try to use ChatGPT to search for businesses that may have prices on equipment for the DRI production process.

3. Trying to use ChatGPT to simplify my paragraphs in a report due to excessive text.

4. Working in a group to generate an executive summary using ChatGPT and making some improvements to the generated text to be used as a formal executive summary.","When design for some parameters of process unit operation, ChatGPT was used to help search and conclude the possible value.

Used for language translate

Used to improve polish paragraph

Group used to generate executive summary","Search for the parameter range of the equipment
Polishing sentences using ChatGPT
Search for equipment expenditure data
Use ChatGPT to generate the Executive Summary."
