Label,Description,Method
Net-Net Asset Plays,Buy firms trading below net current asset value (NCAV).,"Filter for Price < (Current Assets – Total Liabilities), ensuring basic business viability."
Excess Cash Bargain,Focus on companies whose cash exceeds their market cap.,Screen for negative enterprise value; check that core operations are at least stable.
Classic Low Price-to-Book,"Acquire shares with a P/B ratio well under 1, anticipating a correction to book value.",Screen P/B < 1 in historically profitable sectors; verify no structural decline in assets.
Hidden Real Estate Value,"Target firms owning property at historic cost, undervalued by the market.",Compare estimated market value of land/buildings vs. official book value; confirm discount in share price.
Turnaround Deep Value,Invest in struggling companies that have a feasible plan to restore earnings.,"Look for near-term losses with new leadership or restructuring announcements, stable liquidity."
Defensive Dividend Payor,"Buy stable dividend payers priced cheaply relative to peers, focusing on reliability.","Screen for consistent dividend history (5+ years), low P/E, manageable debt levels."
“Cigar Butt” Approach,"Purchase extremely cheap, battered stocks for a final “puff” of return.",Seek severe undervaluations (P/E or P/B far below sector) and minimal improvement needed for upside.
Micro-Cap Undiscovered Value,Focus on tiny companies with healthy fundamentals overlooked by analysts.,"Filter market cap < $300M, positive free cash flow, little to no analyst coverage."
Low EV/EBIT Multiple,Hunt firms whose enterprise value to EBIT is significantly below market average.,Screen for EV/EBIT < 8 in stable industries with at least moderate profitability.
Shareholder Yield Emphasis,"Combine dividends, share buybacks, and debt reduction to gauge overall return.","Rank stocks by (Dividend Yield + Buyback Yield + Debt Paydown) / Market Cap, focusing on consistent FCF."
Contrarian Cyclical Plays,"Buy cyclical stocks at the bottom of their economic cycle, expecting reversion.","Look for depressed P/E or P/B, stable or improving macro signals in cyclical sectors (e.g., industrials)."
Spin-Off Value Discovery,Invest in recently spun-off companies that may be mispriced post-transaction.,"Track corporate announcements of spin-offs, watch forced selling, compare segment fundamentals vs. price."
Liquidation Arbitrage,"Purchase shares in companies formally liquidating, expecting net assets above current price.",Check official liquidation filings; calculate net realizable asset value minus liabilities.
Negative Enterprise Value,"Acquire businesses whose cash exceeds market cap, making EV negative.",Filter for net cash exceeding market cap; confirm that ongoing operations won’t burn all reserves.
Activist-Initiated Value,Follow activists into undervalued firms aiming for cost cuts or strategic changes.,Monitor 13D filings by reputable activists; verify fundamentals that can be improved.
Sum-of-the-Parts Discount,Target conglomerates where the total of each segment’s worth exceeds current market cap.,Break down segment valuations; compare sum to enterprise value for a large discount.
High Free Cash Flow Yield,"Prefer businesses generating strong FCF relative to their price, ignoring short-term noise.",Screen for FCF Yield > 10% with stable or growing operating cash flow.
Oversold Brand Power,Focus on recognized consumer brands trading cheaply due to temporary setbacks.,Identify brand equity or loyalty metrics; find dips from short-term negative press or results.
Emerging Market Value,Pick undervalued EM stocks with stable governance and growth tailwinds.,"Filter for low P/E, sustainable debt, and improving country-level macro factors."
Unused NOLs (Tax Shields),Invest in companies with large net operating loss carryforwards that can offset future profits.,Screen for significant NOLs vs. market cap; watch for a path to profitability to use those NOLs.
Post-Accounting Scandal Recovery,Buy stocks hammered by past accounting issues but now with transparent reporting.,"Look for restatement completions, new CFO or auditor, stable business fundamentals."
Going-Private Candidates,"Identify small or micro-cap firms with steady cash flow, likely to be taken private.","Scan for strong FCF, minimal float, possibly high insider ownership, or private equity interest."
Bank Recapitalization Play,Acquire undercapitalized banks raising equity or reorganizing to restore capital ratios.,"Look for banks trading below book value, capital injection announcements, improved asset quality."
Commodity Price Overreaction,Exploit cyclical commodity companies oversold due to short-term price collapses.,"Compare production cost vs. spot price, check cyclical supply-demand patterns for a potential rebound."
Undervalued Homebuilders,"Target real estate developers/homebuilders priced cheaply, expecting cyclical housing recoveries.",Screen for P/E or P/B < sector norms; watch local/regional housing permit trends.
Discounted Rights Offerings,Buy shares in steeply discounted rights issues if the business model is intact.,Monitor news of rights offerings; verify minimal operational deterioration behind the funding need.
