date,author,old_ticker,new_ticker,company_name,reasoning,processed_at
2024-10-18,glassonion,THAMES,PRIVATE,Thames Water Utilities Ltd,"There are no ticker results provided, suggesting the company may be private. Therefore, 'PRIVATE' is the most appropriate selection.",2025-02-08 13:24:06.037158
2024-10-17,churchill,TEP,TEP.PA,TELEPERFORMANCE,"TEP.PA is listed on the Paris Stock Exchange (Euronext Paris), which is generally considered a major exchange compared to the others like CXE, MEX, GER, and VIE where the company is also listed.",2025-02-08 13:24:06.037158
2021-10-18,erst1071,FKRFT,FKRFT_UNKNOWN,Fjordkraft,"There is only one result with the symbol 'NO0010815673.SG' on the STU exchange, but there's insufficient information to match it to 'Fjordkraft' or 'FKRFT'. There is no name detail provided and only one option, making it impossible to verify or select it confidently. Hence, 'FKRFT_UNKNOWN' is the most appropriate choice.",2025-02-08 13:24:06.037158
2021-10-16,googie974,LGL.WS,LGL,LGL GROUP INC,"The best matching ticker for 'LGL GROUP INC' from the results is 'LGL' listed on the ASE (American Stock Exchange). This exchange is larger than FRA (Frankfurt Stock Exchange), and the name matches closely with the given company name.",2025-02-08 13:24:06.037158
2021-10-16,vfm343,UJJIVAN,UJJIVAN_UNKNOWN,Ujjivan Financial Services ltd,No results appeared to match the provided company name or ticker.,2025-02-08 13:24:06.037158
2021-10-15,unlatchmergers,DCT,DCT_UNKNOWN,DUCK CREEK TECHNOL INC,"No ticker results were provided to match against the company 'DUCK CREEK TECHNOL INC', hence returning DCT_UNKNOWN.",2025-02-08 13:24:06.037158
2021-10-15,Leo11,FLOW,FLOW,Flow Token,"The provided ticker 'FLOW' directly matches the given company name 'Flow Token'. It is listed on the PCX exchange, and since the request is to select the largest exchange when there's an option, without further information, we'll go with the direct match available on PCX.",2025-02-08 13:24:06.037158
2021-09-25,cosecant95,LFG,LFG_UNKNOWN,ARCHAEA ENERGY INC,"No ticker results were provided to match against the company 'ARCHAEA ENERGY INC'. Since no results appear to match, the placeholder 'LFG_UNKNOWN' is selected.",2025-02-08 13:24:06.037158
2021-09-25,coffee1029,ZOT,PRIVATE,Zardoya Otis,None of the tickers in the search results match the company name 'Zardoya Otis' or the provided ticker 'ZOT'. It appears that 'Zardoya Otis' may have been privatized or delisted since the search results do not correspond to it.,2025-02-08 13:24:06.037158
2021-09-24,bradfordst,ACY,ACY_UNKNOWN,AEROCENTURY CORP,There are no results available to match the company 'AEROCENTURY CORP' with any ticker symbol.,2025-02-08 13:24:06.037158
2021-09-24,MYetman,MDP,MDP_UNKNOWN,MEREDITH CORP,"There are no results to match the provided company name 'MEREDITH CORP' and ticker 'MDP', therefore, MDP_UNKNOWN is selected.",2025-02-08 13:24:06.037158
2021-09-24,Goober25,KCN,KCN.AX,Kingsgate Consolidated Limited,"The ticker 'KCN.AX' is listed on the ASX (Australian Securities Exchange), which is the primary exchange for Australian companies. Given that multiple listings are associated with the same company name across different exchanges, the ASX is the largest and most relevant exchange for this Australian-based company.",2025-02-08 13:24:06.037158
2021-09-23,cablebeach,ATVI,ATVI_UNKNOWN,ACTIVISION BLIZZARD INC,"No ticker results were provided, so there is nothing to match against. The ticker is unknown based on the given data.",2025-02-08 13:24:06.037158
2021-09-23,pmgs24,UPG,UPG.BR,UnifiedPost Group,"The ticker 'UPG.BR' on the Brussels Stock Exchange (BRU) is selected because it matches the company name 'Unifiedpost Group SA' and is listed on the largest exchange among the options available. The Brussels Stock Exchange is considered a larger and more significant exchange compared to the others listed, such as MUN, STU, DUS, or DXE.",2025-02-08 13:24:06.037158
2021-09-23,Pantone542,SGFY,SGFY_UNKNOWN,SIGNIFY HEALTH INC,"No matching ticker was provided in the results, hence SGFY_UNKNOWN is the appropriate response.",2025-02-08 13:24:06.037158
2021-09-22,Forrest Gump,HK,HK_UNKNOWN,Galaxy Entertainment Group,"None of the provided ticker symbols match the ticker 'HK', nor are they associated with a major exchange that would suggest a primary listing. This indicates that either the company does not have a publicly listed ticker matching 'HK', or is an unmatched case.",2025-02-08 13:24:06.037158
2021-09-22,happyhunting,MPMX,MPMX.JK,PT MITRA PINASTHIKA MUSTIKA,"The ticker 'MPMX.JK' on the Jakarta Stock Exchange (JKT) matches the company name 'PT Mitra Pinasthika Mustika Tbk', which is similar to 'PT MITRA PINASTHIKA MUSTIKA'. It is the largest exchange available in this case.",2025-02-08 13:24:06.037158
2021-09-22,addtreat8,LN,LN_UNKNOWN,CAIRN ENERGY PLC (CRNCY),"There were no results available to evaluate, so there's nothing that matches the company name 'CAIRN ENERGY PLC (CRNCY)' with ticker 'LN'. Thus, 'LN_UNKNOWN' is returned.",2025-02-08 13:24:06.037158
2021-09-19,compass868,VVNT,VVNT_UNKNOWN,VIVINT SMART HOME INC,"There are no ticker options provided, so no match could be attempted.",2025-02-08 13:24:06.037158
2021-09-17,htm815,CINR,CINR_UNKNOWN,CINER RESOURCES LP,"No matching tickers were found in the provided results, so the ticker is unknown.",2025-02-08 13:24:06.037158
2021-09-15,SlackTide,SW.,SW._UNKNOWN,SIERRA WIRELESS INC,There were no results to match against the company name 'SIERRA WIRELESS INC' and ticker 'SW.',2025-02-08 13:24:06.037158
2021-09-15,Dr1004,MLCO:US,MLCO,Melco Resorts & Entertainment,The ticker 'MLCO' listed on the NMS (presumably the NASDAQ Global Select Market) exchange matches the company name 'Melco Resorts & Entertainment Limited' and represents the largest and most prominent exchange among the given options.,2025-02-08 13:24:06.037158
2021-09-14,zamperini,RPGLIFE,RPGLIFE.NS,RPG Life Sciences,"Both NSI (NSE) and BSE are prominent exchanges in India, but NSI (National Stock Exchange of India) is larger in terms of trading volume and market capitalization. Therefore, I selected RPGLIFE.NS as it trades on NSI.",2025-02-08 13:24:06.037158
2021-09-14,lars,TRTN,TRTN_UNKNOWN,TRITON INTERNATIONAL LTD,"No ticker options were provided in the results to evaluate for the best match. Since the provided results list is empty, there's no basis to match the company 'TRITON INTERNATIONAL LTD' with its ticker 'TRTN'. Thus, the result 'TRTN_UNKNOWN' is returned.",2025-02-08 13:24:06.037158
